uniprot_id,gene_name,protein_name,length,alphafold_id
A0A0G2KQY6,slc39a14,Metal cation symporter ZIP14 (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14),494,A0A0G2KQY6
A0A0G2KTI4,slc12a2,Solute carrier family 12 member 2 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (BSC2) (Na-K-Cl cotransporter 1) (NKCC1),1136,A0A0G2KTI4
A0A0G2L7I0,sprtn,DNA-dependent metalloprotease SPRTN (EC 3.4.24.-) (Protein with SprT-like domain at the N terminus) (Spartan),636,A0A0G2L7I0
A0A0N9E2K8,mmp21,Matrix metallopeptidase-21 (MMP-21) (EC 3.4.24.-),599,A0A0N9E2K8
A0A0R4I9Y1,rnf213b,E3 ubiquitin-protein ligase rnf213-beta (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-beta) (EC 2.3.2.-) (Mysterin-B) (Mysterin-beta) (RING finger protein 213-B) (RING finger protein 213-beta),5061,
A0A0R4IBK5,rnf213a,E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha),5209,
A0A0R4IDX9,ninj1,Ninjurin-1 (Nerve injury-induced protein 1),146,A0A0R4IDX9
A0A0R4IEW8,elavl4,ELAV-like protein 4 (Protein elrD),411,A0A0R4IEW8
A0A0R4IFG5,cfap53,Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11),519,A0A0R4IFG5
A0A0R4IKJ1,pcif1,mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (zCAPAM) (Phosphorylated CTD-interacting factor 1),721,A0A0R4IKJ1
A0A0R4IKU3,reck,Reversion-inducing cysteine-rich protein with Kazal motifs,955,A0A0R4IKU3
A0A0R4ILB2,flvcr2a,Choline/ethanolamine transporter flvcr2a (Feline leukemia virus subgroup C receptor-related protein 2 homolog A) (Heme transporter flvcr2a) (Major facilitator superfamily domain containing 7C-a),470,A0A0R4ILB2
A0A0R4IMY7,trpm2,Transient receptor potential cation channel subfamily M member 2,1470,A0A0R4IMY7
A0A0R4IVA4,cdc14ab,Dual specificity protein phosphatase CDC14AB (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog AB),611,A0A0R4IVA4
A0A0R4IVV0,mttp,Microsomal triglyceride transfer protein large subunit,884,A0A0R4IVV0
A0A0R4IXF6,kat2a,Histone acetyltransferase KAT2A (EC 2.3.1.48) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A),795,A0A0R4IXF6
A0A0R4IY06,plaat1,Phospholipase A and acyltransferase 1 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4),179,A0A0R4IY06
A0A0R4IZ84,smg6,Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog),1544,A0A0R4IZ84
A0A193KX02,tomt,Transmembrane O-methyltransferase homolog (EC 2.1.1.6) (Protein mercury),259,A0A193KX02
A0A1D5NS60,znf16l,Zinc finger protein 16-like (Zinc finger protein 697-like),528,A0A1D5NS60
A0A1D5NSK0,cirop,Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2),623,A0A1D5NSK0
A0A1D5NSM8,svep1,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",3615,
A0A1Z2R986,eng,Endoglin,559,A0A1Z2R986
A0A286Y9D1,phf14,PHD finger protein 14,914,A0A286Y9D1
A0A2R8Q1W5,keap1b,Kelch-like ECH-associated protein 1B,587,A0A2R8Q1W5
A0A2R8QCI3,ccdc88c,Protein Daple (Coiled-coil domain-containing protein 88C),2023,A0A2R8QCI3
A0A2R8QF68,grik2,"Glutamate receptor ionotropic, kainate 2 (GluK2)",908,A0A2R8QF68
A0A2R9YJI3,gpr22a,G protein-coupled receptor 22,460,A0A2R9YJI3
A0A386CAB9,nlrp1,"NACHT, LRR and PYD domains-containing protein 1 homolog (EC 3.4.-.-) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1, C-terminus (NLRP1-CT); NACHT, LRR and PYD domains-containing protein 1, N-terminus (NLRP1-NT)]",1355,A0A386CAB9
A0A8M1NHK4,rbm47,RNA-binding protein 47 (RNA-binding motif protein 47),600,A0A8M1NHK4
A0A8M1PLI9,aldh7a1,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8),540,A0A8M1PLI9
A0A8M2BID5,dspa,Desmoplakin-A (Desmoplakin isoform X2),2059,A0A8M2BID5
A0A8M3B525,brcc3,Lys-63-specific deubiquitinase (EC 3.4.19.-),287,A0A8M3B525
A0A8M9PDM1,spaca6,Sperm acrosome membrane-associated protein 6,317,A0A8M9PDM1
A0A8M9PFP2,clstn3,Calsyntenin-3,956,A0A8M9PFP2
A0A8M9PQ61,dspb,Desmoplakin-B (Desmoplakin isoform X1),2207,A0A8M9PQ61
A0JMD4,tpcn2,Two pore channel protein 2 (Two pore calcium channel protein 2) (Voltage-dependent calcium channel protein TPC2),774,A0JMD4
A0JMQ9,zranb1b,Ubiquitin thioesterase zranb1-B (EC 3.4.19.12) (Zinc finger Ran-binding domain-containing protein 1-B),716,A0JMQ9
A0JPF9,crppa,D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein),462,A0JPF9
A0MGZ7,hs6st3b,Heparan-sulfate 6-O-sulfotransferase 3-B (HS 6-OST-3-B) (EC 2.8.2.-),419,A0MGZ7
A0MTA1,apex1,DNA repair nuclease APEX1 (EC 3.1.11.2) (EC 3.1.21.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (zAP1),310,A0MTA1
A0T2N3,aplnrb,Apelin receptor B (Angiotensin II receptor-like 1b) (Angiotensin receptor-like 1b) (G protein-coupled receptor APJ B) (Protein grinch),359,A0T2N3
A1A5H8,yes1,Tyrosine-protein kinase yes (EC 2.7.10.2) (p61-Yes),546,A1A5H8
A1L1N5,hnf1ba,Hepatocyte nuclear factor 1-beta-A (HNF-1-beta-A) (HNF-1B-A) (Hepatocyte nuclear factor 1-beta-2) (HNF-1B-2) (Transcription factor 2) (TCF-2) (Variant hepatic nuclear factor 1) (vHNF1),559,A1L1N5
A1L1V4,loxl2b,Lysyl oxidase homolog 2B (EC 1.4.3.13) (Lysyl oxidase-like protein 2B),762,A1L1V4
A1L293,ptpmt1,"Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (EC 3.1.3.27) (Protein-tyrosine phosphatase mitochondrial 1) (EC 3.1.3.16, EC 3.1.3.48)",183,A1L293
A1L2G3,bap1,Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1),755,A1L2G3
A1XQX0,nrxn1a,Neurexin-1a (Neurexin Ia-alpha) (Neurexin-1a-alpha),1491,A1XQX0
A1XQX8,nrxn3a,Neurexin-3a (Neurexin IIIa-alpha) (Neurexin-3a-alpha),1697,A1XQX8
A1XQY1,nrxn3b,Neurexin-3b (Neurexin IIIb-alpha) (Neurexin-3b-alpha),1686,A1XQY1
A1YB07,amotl2a,Angiomotin-like 2a,721,A1YB07
A2BGM5,foxn4,Forkhead box protein N4,550,A2BGM5
A2BIE7,tapt1,Transmembrane anterior posterior transformation protein 1 homolog,567,A2BIE7
A2CEH0,poc1b,POC1 centriolar protein homolog B (WD repeat domain 51B),490,A2CEH0
A2CEI6,piwil2,Piwi-like protein 2 (EC 3.1.26.-),1046,A2CEI6
A2SWM2,spns2,Sphingosine-1-phosphate transporter SPNS2 (Protein spinster homolog 2) (Protein two of hearts),504,A2SWM2
A2T928,rargb,Retinoic acid receptor gamma-B (RAR-gamma-B) (Nuclear receptor subfamily 1 group B member 3-B),489,A2T928
